Gene,UniProt,Sample_type,Tissue,Species,Repository,Reference,Confidence_Score,Description,Coverage_Map_File,Total_Ion_Intensity
SRPX2,O60687,Normal colon,Colon,human,MSV000078555,10.1186/1471-2407-14-518,31.2559,Sushi repeat-containing protein SRPX2,Normal colon_O60687.html,35301.7
FBLN5,Q9UBX5,Omental metastasis from HGS ovarian carcinoma (Crude ECM protein fraction),Ovarian Cancer Metastasis,human,PXD005554,10.1021/acs.jproteome.7b00191,31.1783,Fibulin-5,Omental metastasis from HGS ovarian carcinoma (Crude ECM protein fraction)_Q9UBX5.html,719143
FBLN5,Q9UBX5,Omental metastasis from HGS ovarian carcinoma (Soluble protein fraction),Ovarian Cancer Metastasis,human,PXD005554,10.1021/acs.jproteome.7b00191,31.1783,Fibulin-5,Omental metastasis from HGS ovarian carcinoma (Soluble protein fraction)_Q9UBX5.html,5443170
ADAMTSL4,Q6UY14-3,Liver metastasis from metastatic colorectal tumor,Colon Cancer,human,MSV000078555,10.1186/1471-2407-14-518,31.1329,Isoform 3 of ADAMTS-like protein 4,Liver metastasis from metastatic colorectal tumor_Q6UY14-3.html,920267
ADAMTSL4,Q6UY14-3,Primary metastatic colorectal tumor,Colon Cancer,human,MSV000078555,10.1186/1471-2407-14-518,31.1329,Isoform 3 of ADAMTS-like protein 4,Primary metastatic colorectal tumor_Q6UY14-3.html,484434
COL4A5,P29400,Omental metastasis from HGS ovarian carcinoma (Crude ECM protein fraction),Ovarian Cancer Metastasis,human,PXD005554,10.1021/acs.jproteome.7b00191,31.0932,Collagen alpha-5(IV) chain,Omental metastasis from HGS ovarian carcinoma (Crude ECM protein fraction)_P29400.html,5839130
COL4A5,P29400,Omental metastasis from HGS ovarian carcinoma (Soluble protein fraction),Ovarian Cancer Metastasis,human,PXD005554,10.1021/acs.jproteome.7b00191,31.0932,Collagen alpha-5(IV) chain,Omental metastasis from HGS ovarian carcinoma (Soluble protein fraction)_P29400.html,1617950
PRELP,P51888,Basement membrane of inner limiting membrane,Eye,human,PXD001025,10.1021/pr5002065,31.065,Prolargin,Basement membrane of inner limiting membrane_P51888.html,1571030
ABI3BP,Q7Z7G0,Cranial bone (Fused coronal suture),Cranial Bone,human,PXD003215,10.1016/j.ab.2016.09.021,31.0616,Target of Nesh-SH3,Cranial bone (Fused coronal suture)_Q7Z7G0.html,14951200
ABI3BP,Q7Z7G0,Cranial bone (Fused metopic suture),Cranial Bone,human,PXD003215,10.1016/j.ab.2016.09.021,31.0616,Target of Nesh-SH3,Cranial bone (Fused metopic suture)_Q7Z7G0.html,2932220
ABI3BP,Q7Z7G0,Cranial bone (Fused sagittal suture),Cranial Bone,human,PXD003215,10.1016/j.ab.2016.09.021,31.0616,Target of Nesh-SH3,Cranial bone (Fused sagittal suture)_Q7Z7G0.html,4220470
ABI3BP,Q7Z7G0,Cranial bone (Patent coronal suture),Cranial Bone,human,PXD003215,10.1016/j.ab.2016.09.021,31.0616,Target of Nesh-SH3,Cranial bone (Patent coronal suture)_Q7Z7G0.html,6549730
ABI3BP,Q7Z7G0,Cranial bone (Patent metopic suture),Cranial Bone,human,PXD003215,10.1016/j.ab.2016.09.021,31.0616,Target of Nesh-SH3,Cranial bone (Patent metopic suture)_Q7Z7G0.html,5097380
ANXA3,P12429,Cranial bone (Fused metopic suture),Cranial Bone,human,PXD003215,10.1016/j.ab.2016.09.021,30.9874,Annexin A3,Cranial bone (Fused metopic suture)_P12429.html,11163000
ANXA3,P12429,Cranial bone (Fused sagittal suture),Cranial Bone,human,PXD003215,10.1016/j.ab.2016.09.021,30.9874,Annexin A3,Cranial bone (Fused sagittal suture)_P12429.html,27261100
ANXA3,P12429,Cranial bone (Patent metopic suture),Cranial Bone,human,PXD003215,10.1016/j.ab.2016.09.021,30.9874,Annexin A3,Cranial bone (Patent metopic suture)_P12429.html,5047730
Thbs3,Q05895,Normal colon,Colon,mouse,MSV000078494,10.1074/mcp.M111.014647,30.9771,Thrombospondin-3,Normal colon_Q05895.html,288485
LTBP1,Q14766,Normal Saphenous Vein (Insoluble protein fraction),Blood vessel,human,PXD002555,10.1093/cvr/cvw075,30.9567,Latent-transforming growth factor beta-binding protein 1,Normal Saphenous Vein (Insoluble protein fraction)_Q14766.html,102105000
LTBP1,Q14766,Retinal vascular basement membrane,Blood vessel,human,PXD001025,10.1021/pr5002065,30.9567,Latent-transforming growth factor beta-binding protein 1,Retinal vascular basement membrane_Q14766.html,104407
Adam9,Q61072,Highly metastatic mammary tumor xenograft (MDA-MB-231_LM2),Breast Cancer,human/mouse,MSV000078535,10.7554/eLife.01308,30.9289,Disintegrin and metalloproteinase domain-containing protein 9,Highly metastatic mammary tumor xenograft (MDA-MB-231_LM2)_Q61072.html,144374
Adam9,Q61072,Lung metastasis (4T1),Breast Cancer,mouse,PXD006579,10.1016/j.semcdb.2018.06.005,30.9289,Disintegrin and metalloproteinase domain-containing protein 9,Lung metastasis (4T1)_Q61072.html,18973900
Egflam,Q4VBE4-2,Normal lung,Lung,mouse,PXD006579,10.1016/j.semcdb.2018.06.005,30.7885,Isoform 2 of Pikachurin,Normal lung_Q4VBE4-2.html,2287140
Egflam,Q4VBE4-2,Normal lung ECM (Quantitative detergent solubility profiling),Lung,mouse,PXD001765,10.15252/msb.20156123,30.7885,Isoform 2 of Pikachurin,Normal lung ECM (Quantitative detergent solubility profiling)_Q4VBE4-2.html,12872300
LAMA3,Q16787,Normal colon,Colon,human,MSV000078555,10.1186/1471-2407-14-518,30.7544,Laminin subunit alpha-3,Normal colon_Q16787.html,417939
CTSC,P53634,Normal Saphenous Vein (Soluble protein fraction),Blood vessel,human,PXD002555,10.1093/cvr/cvw075,30.7478,Dipeptidyl peptidase 1,Normal Saphenous Vein (Soluble protein fraction)_P53634.html,971474
CTSC,P53634,Proteins from human vascular SMCs in culture,Blood vessel,human,PXD005130,10.1172/JCI86924,30.7478,Dipeptidyl peptidase 1,Proteins from human vascular SMCs in culture_P53634.html,0
CTSC,P53634,Symptomatic carotid stenosis (Soluble protein fraction),Blood vessel,human,PXD005130,10.1172/JCI86924,30.7478,Dipeptidyl peptidase 1,Symptomatic carotid stenosis (Soluble protein fraction)_P53634.html,0
THSD4,Q6ZMP0,Highly metastatic mammary tumor xenograft (MDA-MB-231_LM2),Breast Cancer,human/mouse,MSV000078535,10.7554/eLife.01308,30.6884,Thrombospondin type-1 domain-containing protein 4,Highly metastatic mammary tumor xenograft (MDA-MB-231_LM2)_Q6ZMP0.html,98207.8
THSD4,Q6ZMP0,Poorly metastatic mammary tumor xenograft (MDA-MB-231_LM2),Breast Cancer,human/mouse,MSV000078535,10.7554/eLife.01308,30.6884,Thrombospondin type-1 domain-containing protein 4,Poorly metastatic mammary tumor xenograft (MDA-MB-231_LM2)_Q6ZMP0.html,209579
VWA1,Q6PCB0,Omental metastasis from HGS ovarian carcinoma (Crude ECM protein fraction),Ovarian Cancer Metastasis,human,PXD005554,10.1021/acs.jproteome.7b00191,30.6338,von Willebrand factor A domain-containing protein 1,Omental metastasis from HGS ovarian carcinoma (Crude ECM protein fraction)_Q6PCB0.html,248582
VWA1,Q6PCB0,Omental metastasis from HGS ovarian carcinoma (Soluble protein fraction),Ovarian Cancer Metastasis,human,PXD005554,10.1021/acs.jproteome.7b00191,30.6338,von Willebrand factor A domain-containing protein 1,Omental metastasis from HGS ovarian carcinoma (Soluble protein fraction)_Q6PCB0.html,4266270
CLEC11A,Q9Y240,Cranial bone  (Patent coronal suture),Cranial Bone,human,PXD003215,10.1016/j.ab.2016.09.021,30.6174,C-type lectin domain family 11 member A,Cranial bone  (Patent coronal suture)_Q9Y240.html,42451700
CLEC11A,Q9Y240,Cranial bone (Fused sagittal suture),Cranial Bone,human,PXD003215,10.1016/j.ab.2016.09.021,30.6174,C-type lectin domain family 11 member A,Cranial bone (Fused sagittal suture)_Q9Y240.html,35351900
CLEC11A,Q9Y240,Cranial bone (Patent coronal suture),Cranial Bone,human,PXD003215,10.1016/j.ab.2016.09.021,30.6174,C-type lectin domain family 11 member A,Cranial bone (Patent coronal suture)_Q9Y240.html,1420190
CLEC11A,Q9Y240,Cranial bone (Patent metopic suture),Cranial Bone,human,PXD003215,10.1016/j.ab.2016.09.021,30.6174,C-type lectin domain family 11 member A,Cranial bone (Patent metopic suture)_Q9Y240.html,13799400
Ctsl,P06797,Lung metastasis (4T1),Breast Cancer,mouse,PXD006579,10.1016/j.semcdb.2018.06.005,30.5163,Cathepsin L1,Lung metastasis (4T1)_P06797.html,46780800
Ctsl,P06797,Syngeneic mammary tumor (4T1),Breast Cancer,mouse,PXD006579,10.1016/j.semcdb.2018.06.005,30.5163,Cathepsin L1,Syngeneic mammary tumor (4T1)_P06797.html,9059520
Tgm1,Q9JLF6,,Liver Fibrosis,mouse,MSV000081084,10.1002/hep.28918,30.4481,Protein-glutamine gamma-glutamyltransferase K,_Q9JLF6.html,0
Tgm1,Q9JLF6,Liver Fibrosis,Liver Fibrosis,mouse,LiverFibrosis_Klaas_SciReports,10.1038/srep27398,30.4481,Protein-glutamine gamma-glutamyltransferase K,Liver Fibrosis_Q9JLF6.html,0
Col1a1,P11087-2,Bronchoalveolar lavage of fibrotic lung,Lung Fibrosis,mouse,PXD001765,10.15252/msb.20156123,30.4283,Isoform 2 of Collagen alpha-1(I) chain,Bronchoalveolar lavage of fibrotic lung_P11087-2.html,225063008
Col1a1,P11087-2,Fibrotic lung ECM (Quantitative detergent solubility profiling),Lung Fibrosis,mouse,PXD001765,10.15252/msb.20156123,30.4283,Isoform 2 of Collagen alpha-1(I) chain,Fibrotic lung ECM (Quantitative detergent solubility profiling)_P11087-2.html,3.12E+11
SDC2,P34741,Asymptomatic carotid (Insoluble ECM protein fraction),Blood vessel,human,PXD005130,10.1172/JCI86924,30.3385,Syndecan-2,Asymptomatic carotid (Insoluble ECM protein fraction)_P34741.html,0
SDC2,P34741,Normal Saphenous Vein (Insoluble protein fraction),Blood vessel,human,PXD002555,10.1093/cvr/cvw075,30.3385,Syndecan-2,Normal Saphenous Vein (Insoluble protein fraction)_P34741.html,7087870
SDC2,P34741,Proteins from human vascular SMCs in culture,Blood vessel,human,PXD005130,10.1172/JCI86924,30.3385,Syndecan-2,Proteins from human vascular SMCs in culture_P34741.html,0
SDC2,P34741,Varicose Saphenous Vein (Soluble protein fraction),Blood vessel,human,PXD002555,10.1093/cvr/cvw075,30.3385,Syndecan-2,Varicose Saphenous Vein (Soluble protein fraction)_P34741.html,4381600
SMOC2,Q9H3U7-2,Asymptomatic carotid (Soluble protein fraction),Blood vessel,human,PXD005130,10.1172/JCI86924,30.3383,Isoform 2 of SPARC-related modular calcium-binding protein 2,Asymptomatic carotid (Soluble protein fraction)_Q9H3U7-2.html,0
SMOC2,Q9H3U7-2,Symptomatic carotid stenosis (Insoluble ECM protein fraction),Blood vessel,human,PXD005130,10.1172/JCI86924,30.3383,Isoform 2 of SPARC-related modular calcium-binding protein 2,Symptomatic carotid stenosis (Insoluble ECM protein fraction)_Q9H3U7-2.html,0
SMOC2,Q9H3U7-2,Symptomatic carotid stenosis (Soluble protein fraction),Blood vessel,human,PXD005130,10.1172/JCI86924,30.3383,Isoform 2 of SPARC-related modular calcium-binding protein 2,Symptomatic carotid stenosis (Soluble protein fraction)_Q9H3U7-2.html,0
PRELP,P51888,Triple-negative breast cancer (Crude ECM protein fraction),Breast Cancer,human,PXD005554,10.1021/acs.jproteome.7b00191,30.3227,Prolargin,Triple-negative breast cancer (Crude ECM protein fraction)_P51888.html,11022800
PRELP,P51888,Triple-negative breast cancer (Insoluble protein fraction),Breast Cancer,human,PXD005554,10.1021/acs.jproteome.7b00191,30.3227,Prolargin,Triple-negative breast cancer (Insoluble protein fraction)_P51888.html,134798
Ltbp1,Q8CG19,Normal colon,Colon,mouse,MSV000078494,10.1074/mcp.M111.014647,30.2922,Latent-transforming growth factor beta-binding protein 1,Normal colon_Q8CG19.html,776325
S100a16,Q9D708,Normal lung ECM (Quantitative detergent solubility profiling),Lung,mouse,PXD001765,10.15252/msb.20156123,30.2529,Protein S100-A16,Normal lung ECM (Quantitative detergent solubility profiling)_Q9D708.html,213475008
KNG1,P01042-3,Glomerular basement membrane,Kidney,human,PXD000456,10.1681/ASN.2013030233,30.2048,Isoform 3 of Kininogen-1,Glomerular basement membrane_P01042-3.html,48720400
Col11a1,Q61245-2,Liver Fibrosis,Liver Fibrosis,mouse,LiverFibrosis_Klaas_SciReports,10.1038/srep27398,30.1645,Isoform Short of Collagen alpha-1(XI) chain,Liver Fibrosis_Q61245-2.html,0
Anxa3,O35639,Normal mammary gland,Breast,mouse,PXD006579,10.1016/j.semcdb.2018.06.005,30.1567,Annexin A3,Normal mammary gland_O35639.html,86080600
COL5A3,P25940,Cranial bone (Fused coronal suture),Cranial Bone,human,PXD003215,10.1016/j.ab.2016.09.021,30.07,Collagen alpha-3(V) chain,Cranial bone (Fused coronal suture)_P25940.html,1047270
COL5A3,P25940,Cranial bone (Fused metopic suture),Cranial Bone,human,PXD003215,10.1016/j.ab.2016.09.021,30.07,Collagen alpha-3(V) chain,Cranial bone (Fused metopic suture)_P25940.html,2281860
COL5A3,P25940,Cranial bone (Fused sagittal suture),Cranial Bone,human,PXD003215,10.1016/j.ab.2016.09.021,30.07,Collagen alpha-3(V) chain,Cranial bone (Fused sagittal suture)_P25940.html,654201
COL5A3,P25940,Cranial bone (Patent coronal suture),Cranial Bone,human,PXD003215,10.1016/j.ab.2016.09.021,30.07,Collagen alpha-3(V) chain,Cranial bone (Patent coronal suture)_P25940.html,11107100
F12,P00748,Normal liver,Liver,human,MSV000078555,10.1186/1471-2407-14-518,30.0697,Coagulation factor XII,Normal liver_P00748.html,302592
Cela2a,P05208,Bronchoalveolar lavage of fibrotic lung,Lung,mouse,PXD001765,10.15252/msb.20156123,30.039,Chymotrypsin-like elastase family member 2A,Bronchoalveolar lavage of fibrotic lung_P05208.html,63041100
Cela2a,P05208,Bronchoalveolar lavage of normal lung,Lung,mouse,PXD001765,10.15252/msb.20156123,30.039,Chymotrypsin-like elastase family member 2A,Bronchoalveolar lavage of normal lung_P05208.html,506810
S100A16,Q96FQ6,Omental metastasis from HGS ovarian carcinoma (Soluble protein fraction),Ovarian Cancer Metastasis,human,PXD005554,10.1021/acs.jproteome.7b00191,30.0264,Protein S100-A16,Omental metastasis from HGS ovarian carcinoma (Soluble protein fraction)_Q96FQ6.html,3409550
Thbs2,Q03350,Highly metastatic mammary tumor xenograft (MDA-MB-231_LM2),Breast Cancer,human/mouse,MSV000078535,10.7554/eLife.01308,30.0253,Thrombospondin-2,Highly metastatic mammary tumor xenograft (MDA-MB-231_LM2)_Q03350.html,156641
Thbs2,Q03350,Lung metastasis (4T1),Breast Cancer,mouse,PXD006579,10.1016/j.semcdb.2018.06.005,30.0253,Thrombospondin-2,Lung metastasis (4T1)_Q03350.html,10637500
Thbs2,Q03350,Poorly metastatic mammary tumor xenograft (MDA-MB-231_LM2),Breast Cancer,human/mouse,MSV000078535,10.7554/eLife.01308,30.0253,Thrombospondin-2,Poorly metastatic mammary tumor xenograft (MDA-MB-231_LM2)_Q03350.html,558523
Thbs2,Q03350,Syngeneic mammary tumor (4T1),Breast Cancer,mouse,PXD006579,10.1016/j.semcdb.2018.06.005,30.0253,Thrombospondin-2,Syngeneic mammary tumor (4T1)_Q03350.html,22379800
Muc2,Q80Z19,Fibrotic lung ECM (Quantitative detergent solubility profiling),Lung Fibrosis,mouse,PXD001765,10.15252/msb.20156123,30.0002,Mucin-2 (Fragments),Fibrotic lung ECM (Quantitative detergent solubility profiling)_Q80Z19.html,185564992
TIMP3,P35625,Glomerular basement membrane,Kidney,human,PXD000456,10.1681/ASN.2013030233,29.9845,Metalloproteinase inhibitor 3,Glomerular basement membrane_P35625.html,12678300
Lama1,P19137,Liver Fibrosis,Liver Fibrosis,mouse,LiverFibrosis_Klaas_SciReports,10.1038/srep27398,29.9382,Laminin subunit alpha-1,Liver Fibrosis_P19137.html,0
CSTB,P04080,ECM of cultured primary fibroblasts from normal prostate,Prostate,human,PXD006562,10.1002/pros.23503,29.935,Cystatin-B,ECM of cultured primary fibroblasts from normal prostate_P04080.html,33958.8
CSTB,P04080,Normal prostate (Soluble protein fraction),Prostate,human,PXD006562,10.1002/pros.23503,29.935,Cystatin-B,Normal prostate (Soluble protein fraction)_P04080.html,17259200
Colq,O35348,Normal lung,Lung,mouse,MSV000078494,10.1074/mcp.M111.014647,29.87,Acetylcholinesterase collagenic tail peptide,Normal lung_O35348.html,24371
Colq,O35348,Normal lung / Lung adenocarcinoma / Lymph node metastasis (TMT experiment),Lung,mouse,PXD003517,10.1073/pnas.1707054114,29.87,Acetylcholinesterase collagenic tail peptide,Normal lung _ Lung adenocarcinoma _ Lymph node metastasis (TMT experiment)_O35348.html,334242
Colq,O35348,Normal lung ECM (Quantitative detergent solubility profiling),Lung,mouse,PXD001765,10.15252/msb.20156123,29.87,Acetylcholinesterase collagenic tail peptide,Normal lung ECM (Quantitative detergent solubility profiling)_O35348.html,1199270
S100A6,P06703,Liver metastasis from metastatic colorectal tumor,Colon Cancer,human,MSV000078555,10.1186/1471-2407-14-518,29.8407,Protein S100-A6,Liver metastasis from metastatic colorectal tumor_P06703.html,860542
S100A6,P06703,Primary metastatic colorectal tumor,Colon Cancer,human,MSV000078555,10.1186/1471-2407-14-518,29.8407,Protein S100-A6,Primary metastatic colorectal tumor_P06703.html,1895340
FBLN5,Q9UBX5,ECM of cultured primary fibroblasts from prostate cancer stroma,Prostate,human,PXD006562,10.1002/pros.23503,29.7726,Fibulin-5,ECM of cultured primary fibroblasts from prostate cancer stroma_Q9UBX5.html,49115.1
FBLN5,Q9UBX5,Normal prostate (Insoluble protein fraction),Prostate,human,PXD006562,10.1002/pros.23503,29.7726,Fibulin-5,Normal prostate (Insoluble protein fraction)_Q9UBX5.html,9164380
FBLN5,Q9UBX5,Normal prostate (Soluble protein fraction),Prostate,human,PXD006562,10.1002/pros.23503,29.7726,Fibulin-5,Normal prostate (Soluble protein fraction)_Q9UBX5.html,19996500
Wnt11,P48615,Fibrotic lung ECM (Quantitative detergent solubility profiling),Lung Fibrosis,mouse,PXD001765,10.15252/msb.20156123,29.7514,Protein Wnt-11,Fibrotic lung ECM (Quantitative detergent solubility profiling)_P48615.html,19909100
VTN,P04004,Normal omental tissue (Crude ECM protein fraction),Omentum,human,PXD005554,10.1021/acs.jproteome.7b00191,29.7462,Vitronectin,Normal omental tissue (Crude ECM protein fraction)_P04004.html,227091
VTN,P04004,Normal omental tissue (Soluble protein fraction),Omentum,human,PXD005554,10.1021/acs.jproteome.7b00191,29.7462,Vitronectin,Normal omental tissue (Soluble protein fraction)_P04004.html,1875410
P3H1,Q32P28-4,Proteins from human vascular SMCs in culture,Blood vessel,human,PXD005130,10.1172/JCI86924,29.6458,Isoform 4 of Prolyl 3-hydroxylase 1,Proteins from human vascular SMCs in culture_Q32P28-4.html,0
FNDC1,Q4ZHG4,Cranial bone  (Patent coronal suture),Cranial Bone,human,PXD003215,10.1016/j.ab.2016.09.021,29.6129,Fibronectin type III domain-containing protein 1,Cranial bone  (Patent coronal suture)_Q4ZHG4.html,23730800
FNDC1,Q4ZHG4,Cranial bone (Fused coronal suture),Cranial Bone,human,PXD003215,10.1016/j.ab.2016.09.021,29.6129,Fibronectin type III domain-containing protein 1,Cranial bone (Fused coronal suture)_Q4ZHG4.html,4970160
FNDC1,Q4ZHG4,Cranial bone (Patent metopic suture),Cranial Bone,human,PXD003215,10.1016/j.ab.2016.09.021,29.6129,Fibronectin type III domain-containing protein 1,Cranial bone (Patent metopic suture)_Q4ZHG4.html,6812960
Ecm1,Q61508,Normal colon,Colon,mouse,MSV000078494,10.1074/mcp.M111.014647,29.6075,Extracellular matrix protein 1,Normal colon_Q61508.html,564125
Sdc3,Q64519,Fibrotic lung ECM (Quantitative detergent solubility profiling),Lung Fibrosis,mouse,PXD001765,10.15252/msb.20156123,29.5504,Syndecan-3,Fibrotic lung ECM (Quantitative detergent solubility profiling)_Q64519.html,30805300
PZP,P20742-2,Liver metastasis from metastatic colorectal tumor,Colon Cancer,human,MSV000078555,10.1186/1471-2407-14-518,29.5045,Isoform 2 of Pregnancy zone protein,Liver metastasis from metastatic colorectal tumor_P20742-2.html,2341520
PZP,P20742-2,Primary metastatic colorectal tumor,Colon Cancer,human,MSV000078555,10.1186/1471-2407-14-518,29.5045,Isoform 2 of Pregnancy zone protein,Primary metastatic colorectal tumor_P20742-2.html,378443
SERPINH1,P50454,Normal liver,Liver,human,MSV000078555,10.1186/1471-2407-14-518,29.4833,Serpin H1,Normal liver_P50454.html,3233920
Mmp15,O54732,Fibrotic lung ECM (Quantitative detergent solubility profiling),Lung Fibrosis,mouse,PXD001765,10.15252/msb.20156123,29.4291,Matrix metalloproteinase-15,Fibrotic lung ECM (Quantitative detergent solubility profiling)_O54732.html,12410400
S100a4,P07091,Bronchoalveolar lavage of fibrotic lung,Lung,mouse,PXD001765,10.15252/msb.20156123,29.4118,Protein S100-A4,Bronchoalveolar lavage of fibrotic lung_P07091.html,12933800
S100a4,P07091,Normal lung,Lung,mouse,MSV000078494,10.1074/mcp.M111.014647,29.4118,Protein S100-A4,Normal lung_P07091.html,16230.6
S100a4,P07091,Normal lung ECM (Quantitative detergent solubility profiling),Lung,mouse,PXD001765,10.15252/msb.20156123,29.4118,Protein S100-A4,Normal lung ECM (Quantitative detergent solubility profiling)_P07091.html,35957700
Col14a1,Q80X19,Normal lymph node,Lymph Node,mouse,PXD006579,10.1016/j.semcdb.2018.06.005,29.4103,Collagen alpha-1(XIV) chain,Normal lymph node_Q80X19.html,57562800
CTSF,Q9UBX1,Highly metastatic mammary tumor xenograft (MDA-MB-231_LM2),Breast Cancer,human/mouse,MSV000078535,10.7554/eLife.01308,29.4087,Cathepsin F,Highly metastatic mammary tumor xenograft (MDA-MB-231_LM2)_Q9UBX1.html,510289
LAMA4,Q16363-2,Proteins from human vascular SMCs in culture,Blood vessel,human,PXD005130,10.1172/JCI86924,29.4029,Isoform 2 of Laminin subunit alpha-4,Proteins from human vascular SMCs in culture_Q16363-2.html,0
POSTN,Q15063-7,Normal colon,Colon,human,MSV000078555,10.1186/1471-2407-14-518,29.3305,Isoform 7 of Periostin,Normal colon_Q15063-7.html,19555300
PLOD2,O00469-3,Highly metastatic mammary tumor xenograft (MDA-MB-231_LM2),Breast Cancer,human/mouse,MSV000078535,10.7554/eLife.01308,29.2833,Isoform 3 of Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2,Highly metastatic mammary tumor xenograft (MDA-MB-231_LM2)_O00469-3.html
PLOD2,O00469-3,Poorly metastatic mammary tumor xenograft (MDA-MB-231_LM2),Breast Cancer,human/mouse,MSV000078535,10.7554/eLife.01308,29.2833,Isoform 3 of Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2,Poorly metastatic mammary tumor xenograft (MDA-MB-231_LM2)_O00469-3.html
Bgn,P28653,Normal mammary gland,Breast,mouse,PXD006579,10.1016/j.semcdb.2018.06.005,29.2685,Biglycan,Normal mammary gland_P28653.html,42703800
CTSC,P53634,Highly metastatic mammary tumor xenograft (MDA-MB-231_LM2),Breast Cancer,human/mouse,MSV000078535,10.7554/eLife.01308,29.2112,Dipeptidyl peptidase 1,Highly metastatic mammary tumor xenograft (MDA-MB-231_LM2)_P53634.html,2736200
CTSC,P53634,Poorly metastatic mammary tumor xenograft (MDA-MB-231_LM2),Breast Cancer,human/mouse,MSV000078535,10.7554/eLife.01308,29.2112,Dipeptidyl peptidase 1,Poorly metastatic mammary tumor xenograft (MDA-MB-231_LM2)_P53634.html,310347
P3H1,Q32P28-3,Highly metastatic mammary tumor xenograft (MDA-MB-231_LM2),Breast Cancer,human/mouse,MSV000078535,10.7554/eLife.01308,29.2103,Isoform 3 of Prolyl 3-hydroxylase 1,Highly metastatic mammary tumor xenograft (MDA-MB-231_LM2)_Q32P28-3.html,543616
P3H1,Q32P28-3,Poorly metastatic mammary tumor xenograft (MDA-MB-231_LM2),Breast Cancer,human/mouse,MSV000078535,10.7554/eLife.01308,29.2103,Isoform 3 of Prolyl 3-hydroxylase 1,Poorly metastatic mammary tumor xenograft (MDA-MB-231_LM2)_Q32P28-3.html,94662.4
Sparcl1,P70663,Lung metastasis (4T1),Breast Cancer,mouse,PXD006579,10.1016/j.semcdb.2018.06.005,29.0683,SPARC-like protein 1,Lung metastasis (4T1)_P70663.html,51560100
Loxl4,Q924C6,Fibrotic lung ECM (Quantitative detergent solubility profiling),Lung Fibrosis,mouse,PXD001765,10.15252/msb.20156123,29.0123,Lysyl oxidase homolog 4,Fibrotic lung ECM (Quantitative detergent solubility profiling)_Q924C6.html,160619008
Plxnb2,B2RXS4,Lung metastasis (4T1),Breast Cancer,mouse,PXD006579,10.1016/j.semcdb.2018.06.005,28.922,Plexin-B2,Lung metastasis (4T1)_B2RXS4.html,33933800
Col16a1,Q8BLX7,Normal lung ECM (Quantitative detergent solubility profiling),Lung,mouse,PXD001765,10.15252/msb.20156123,28.8911,Collagen alpha-1(XVI) chain,Normal lung ECM (Quantitative detergent solubility profiling)_Q8BLX7.html,102518000
Serpina1a,P07758,Liver Fibrosis,Liver Fibrosis,mouse,LiverFibrosis_Klaas_SciReports,10.1038/srep27398,28.8816,Alpha-1-antitrypsin 1-1,Liver Fibrosis_P07758.html,0
SVEP1,Q4LDE5,ECM of cultured primary fibroblasts from prostate cancer stroma,Prostate,human,PXD006562,10.1002/pros.23503,28.8484,Sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1
TINAGL1,Q9GZM7-3,Glomerular basement membrane,Kidney,human,PXD000456,10.1681/ASN.2013030233,28.7552,Isoform 3 of Tubulointerstitial nephritis antigen-like,Glomerular basement membrane_Q9GZM7-3.html,11993100300
CLEC11A,Q9Y240,Omental metastasis from HGS ovarian carcinoma (Crude ECM protein fraction),Ovarian Cancer Metastasis,human,PXD005554,10.1021/acs.jproteome.7b00191,28.7085,C-type lectin domain family 11 member A,Omental metastasis from HGS ovarian carcinoma (Crude ECM protein fraction)_Q9Y240.html,1022740
CLEC11A,Q9Y240,Omental metastasis from HGS ovarian carcinoma (Soluble protein fraction),Ovarian Cancer Metastasis,human,PXD005554,10.1021/acs.jproteome.7b00191,28.7085,C-type lectin domain family 11 member A,Omental metastasis from HGS ovarian carcinoma (Soluble protein fraction)_Q9Y240.html,6394350
SPARC,P09486,Liver metastasis from metastatic colorectal tumor,Colon Cancer,human,MSV000078555,10.1186/1471-2407-14-518,28.5296,SPARC,Liver metastasis from metastatic colorectal tumor_P09486.html,151261
SPARC,P09486,Primary metastatic colorectal tumor,Colon Cancer,human,MSV000078555,10.1186/1471-2407-14-518,28.5296,SPARC,Primary metastatic colorectal tumor_P09486.html,3135470
ELANE,P08246,Basement membrane of inner limiting membrane,Eye,human,PXD001025,10.1021/pr5002065,28.4432,Neutrophil elastase,Basement membrane of inner limiting membrane_P08246.html,1598850
MST1L,Q2TV78-2,Asymptomatic carotid (Soluble protein fraction),Blood vessel,human,PXD005130,10.1172/JCI86924,28.4134,Isoform 2 of Putative macrophage stimulating 1-like protein,Asymptomatic carotid (Soluble protein fraction)_Q2TV78-2.html,0
MST1L,Q2TV78-2,Proteins from human vascular SMCs in culture,Blood vessel,human,PXD005130,10.1172/JCI86924,28.4134,Isoform 2 of Putative macrophage stimulating 1-like protein,Proteins from human vascular SMCs in culture_Q2TV78-2.html,0
MST1L,Q2TV78-2,Symptomatic carotid stenosis (Soluble protein fraction),Blood vessel,human,PXD005130,10.1172/JCI86924,28.4134,Isoform 2 of Putative macrophage stimulating 1-like protein,Symptomatic carotid stenosis (Soluble protein fraction)_Q2TV78-2.html,0
